id,name,overallRating,foodRating,serviceRating,ambienceRating,valueRating,wyr,numReviews
"62","Manager multi-byte Borders","4.625","3.9375","4.1875","4.0625","4.3125","68.75","16"
"63","sensor","4","5","4.428571428571429","4","3.857142857142857","85.71428571428571","7"
"64","metrics backing up","4.083333333333333","4.833333333333333","3.8333333333333335","5","4.666666666666667","66.66666666666667","12"
"65","mission-critical","3.6666666666666665","4.666666666666667","5","4.666666666666667","4","100","3"
"66","compress Handcrafted","4","4.8","4.2","4.4","4.2","80","5"
"67","one-to-one visualize","4.647058823529412","4.0588235294117645","4.647058823529412","4.882352941176471","4.588235294117646","88.23529411764706","17"
"68","upward-trending database","4.7272727272727275","4.2727272727272725","3.8181818181818183","4.7272727272727275","4","54.54545454545455","11"
"69","Practical withdrawal","4.571428571428571","4.142857142857143","4.428571428571429","4.142857142857143","4.714285714285714","100","7"
"70","XML brand payment","4.222222222222222","4.555555555555555","4.555555555555555","4.777777777777778","4.666666666666667","66.66666666666667","9"
"71","cross-platform Chief Alaska","4.583333333333334","4.25","4.666666666666667","4.833333333333333","4.083333333333333","91.66666666666667","12"
"72","Consultant Credit Card Account back-end","4.714285714285714","5","4.714285714285714","3.857142857142857","3.857142857142857","85.71428571428571","7"
"73","plug-and-play incremental","4.416666666666666","4.416666666666667","4.166666666666667","4.249999999999999","4.833333333333333","66.66666666666667","12"
"74","circuit Jewelery","4.666666666666667","4.466666666666667","4.4","4.4","4.2","93.33333333333333","15"
"75","haptic Cross-group turn-key","4.285714285714286","4.285714285714286","4.571428571428571","3.857142857142857","4.857142857142857","71.42857142857143","7"
"76","Chilean Peso Unidades de fomento Licensed","4.1","4.8","4.5","4.8","4.5","100","10"
"77","Cambridgeshire","4","4.25","4.125","4.75","4.25","87.5","8"
"78","haptic card invoice","4.8","4.6","4.6","4.8","4.8","60","5"
"79","transmitter Cheese","3.8333333333333335","4.5","4.333333333333333","4.833333333333333","4","83.33333333333333","6"
"80","Producer","4.666666666666667","4.666666666666667","4.666666666666667","4.333333333333333","4.333333333333333","66.66666666666667","3"
"81","Costa Rica","4.375","4.375","4.3125","4.437499999999999","4.5","68.75","16"
"82","clear-thinking","4.4","4.6","3.8","4.2","4.4","100","5"
"83","matrix systems matrix","4.499999999999999","4.833333333333333","4.25","4.666666666666667","4.333333333333333","91.66666666666667","12"
"84","matrix","4.533333333333333","4.466666666666667","4.4","4.4","4.133333333333334","73.33333333333333","15"
"85","Investment Account","4.733333333333333","3.8666666666666667","3.8","4.4","4.333333333333332","80","15"
"86","models Ohio","4.588235294117646","4.294117647058823","4.294117647058823","4.352941176470588","4.470588235294118","94.11764705882354","17"
"87","Missouri San Marino Licensed","4","4.090909090909091","4.636363636363637","4.545454545454546","4.818181818181818","81.81818181818181","11"
"88","interface Nakfa Games","3.6666666666666665","4.166666666666667","4","4.333333333333333","4.166666666666667","100","6"
"89","Trafficway Berkshire","4.75","4.5","3.5","4.375","4.25","50","8"
"90","copy","4.615384615384615","4.538461538461539","4.769230769230769","4.615384615384616","4.846153846153846","100","13"
"91","website","4.384615384615385","4.538461538461538","4.384615384615385","4.230769230769231","4.384615384615383","76.92307692307693","13"
"92","maximize","3.6666666666666665","3.6666666666666665","3.6666666666666665","5","4.333333333333333","66.66666666666667","3"
"93","AGP methodology quantifying","4.285714285714286","4.500000000000001","4.5","4.071428571428571","4.499999999999999","78.57142857142857","14"
"94","extranet visualize invoice","4.333333333333333","4.416666666666667","4.416666666666667","4.416666666666667","4.583333333333334","58.333333333333336","12"
"95","Fresh Infrastructure","4.333333333333333","4.666666666666667","5","3","4.666666666666667","66.66666666666667","3"
"96","deliverables","4.444444444444445","4","4.666666666666667","4.333333333333333","4","77.77777777777777","9"
"97","yellow rich","4.2","4","4.8","4.6","5","60","5"
"98","Distributed Granite Credit Card Account","4.111111111111111","4.222222222222222","4.666666666666667","3.888888888888889","4.777777777777778","100","9"
"99","copy Bike Guam","4.461538461538462","4.769230769230769","4.615384615384615","3.6923076923076925","3.8461538461538463","76.92307692307693","13"
"100","Surinam Dollar generate","4.166666666666667","4.5","4.666666666666667","4.833333333333333","4.166666666666667","83.33333333333333","6"
